Latitude	Longitude	Address
41.39195	2.15553	191 Carrer del Rosselló, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08036
41.38321	2.17522	4 Carrer de Sant Felip Neri, El Gòtic, Barcelona, Barcelona, CT, ES, 08002
41.39108	2.17157	21 Carrer de Roger de Llúria, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08010
41.38528	2.10162	Carrer de Tenerife, Esplugues de Llobregat, Barcelona, CT, ES, 08950
41.39448	2.16231	84 Passeig de Gràcia, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08008
41.39586	2.1821	18 Carrer de Ribes, Fort Pienc, Barcelona, Barcelona, CT, ES, 08013
41.39484	2.14679	8 Carrer de Santaló, Sant Gervasi-Galvany, Barcelona, Barcelona, CT, ES, 08021
41.37465	2.17081	Carrer de Cabanes, El Poblesec, Barcelona, Barcelona, CT, ES, 08004
41.38241	2.18085	3 Via Laietana, El Gòtic, Barcelona, Barcelona, CT, ES, 08003
41.39335	2.14621	594 Avinguda Diagonal, Sant Gervasi-Galvany, Barcelona, Barcelona, CT, ES, 08021
41.38884	2.13178	2 Plaça de Valdívia, Les Corts, Barcelona, Barcelona, CT, ES, 08014
41.37661	2.15234	36 Carrer de Vilamarí, Sant Antoni, Barcelona, Barcelona, CT, ES, 08015
41.38115	2.17388	4 Carrer de n'Aroles, El Gòtic, Barcelona, Barcelona, CT, ES, 08002
41.40183	2.14762	49 Carrer de Guillem Tell, El Putget i Farró, Barcelona, Barcelona, CT, ES, 08006
41.38425	2.15156	93 Avinguda de Roma, La Nova Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08029
41.3767	2.14613	53 Carrer del Consell de Cent, Hostafrancs, Barcelona, Barcelona, CT, ES, 08014
41.38451	2.13771	72 Carrer de Numància, Les Corts, Barcelona, Barcelona, CT, ES, 08029
41.38706	2.17441	49 Via Laietana, El Gòtic, Barcelona, Barcelona, CT, ES, 08002
41.39191	2.15691	64 Carrer d'Enric Granados, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08008
41.38359	2.10959	667 Avinguda Diagonal, La Maternitat i Sant Ramon, Barcelona, Barcelona, CT, ES, 08028
41.39282	2.16577	271 Carrer d'Aragó, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08007
41.39997	2.14493	131 Via Augusta, Sant Gervasi-Galvany, Barcelona, Barcelona, CT, ES, 08006
41.40493	2.1289	7 Carrer de Vilana, Sant Gervasi-la Bonanova, Barcelona, Barcelona, CT, ES, 08017
41.40897	2.21841	9 Plaça de Willy Brandt, Diag. Mar i el Front Mar. del Pob., Barcelona, Barcelona, CT, ES, 08019
41.40481	2.17263	390 Carrer del Rosselló, Sagrada Familia, Barcelona, Barcelona, CT, ES, 08025
41.397	2.19214	119 Carrer de Pallars, El Parc i la Llacuna del Poblenou, Barcelona, Barcelona, CT, ES, 08018
41.37502	2.1684	78 Avinguda del Paral.lel, El Raval, Barcelona, Barcelona, CT, ES, 08001
41.39478	2.14342	40 Carrer de Calvet, Sant Gervasi-Galvany, Barcelona, Barcelona, CT, ES, 08021
41.42267	2.14647	11 Carrer de Rossell, La Teixonera, Barcelona, Barcelona, CT, ES, 08035
41.38424	2.17107	128 Carrer la Rambla, El Gòtic, Barcelona, Barcelona, CT, ES, 08002
